[2023-05-22 23:03:00,971] (set_logging:INFO) Files stored in "fspace-inference/wandb/run-bkz5jtf1/files".
[2023-05-22 23:03:01,651] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:03,312] (get_dataset:INFO) Loaded "cifar10".
[2023-05-22 23:03:03,388] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:04,858] (get_dataset:INFO) Loaded "cifar100".
[2023-05-22 23:16:43,529] (train_model:DEBUG) {'epoch': 11, 'batch_loss': 0.4425678849220276, 'ce_loss': 0.4391399919986725, 'reg_loss': 3427.892333984375}
[2023-05-22 23:16:57,472] (train_model:DEBUG) {'epoch': 12, 'batch_loss': 0.3511228859424591, 'ce_loss': 0.3468424081802368, 'reg_loss': 4280.48193359375}
[2023-05-22 23:17:10,916] (train_model:DEBUG) {'epoch': 12, 'batch_loss': 0.3034190535545349, 'ce_loss': 0.29976415634155273, 'reg_loss': 3654.88623046875}
[2023-05-22 23:17:24,356] (train_model:DEBUG) {'epoch': 12, 'batch_loss': 0.5184170007705688, 'ce_loss': 0.5150308609008789, 'reg_loss': 3386.167724609375}
[2023-05-22 23:17:37,801] (train_model:DEBUG) {'epoch': 12, 'batch_loss': 0.37668517231941223, 'ce_loss': 0.373332142829895, 'reg_loss': 3353.02880859375}
[2023-05-22 23:17:51,787] (train_model:DEBUG) {'epoch': 13, 'batch_loss': 0.3583666682243347, 'ce_loss': 0.35468393564224243, 'reg_loss': 3682.723876953125}
[2023-05-22 23:18:05,267] (train_model:DEBUG) {'epoch': 13, 'batch_loss': 0.4455590844154358, 'ce_loss': 0.44139471650123596, 'reg_loss': 4164.359375}
[2023-05-22 23:18:18,736] (train_model:DEBUG) {'epoch': 13, 'batch_loss': 0.6716688871383667, 'ce_loss': 0.6675964593887329, 'reg_loss': 4072.45361328125}
[2023-05-22 23:18:32,214] (train_model:DEBUG) {'epoch': 13, 'batch_loss': 0.3970290720462799, 'ce_loss': 0.3927200436592102, 'reg_loss': 4309.0244140625}
[2023-05-22 23:18:46,195] (train_model:DEBUG) {'epoch': 14, 'batch_loss': 0.5546535849571228, 'ce_loss': 0.5505070686340332, 'reg_loss': 4146.51025390625}
[2023-05-22 23:18:59,676] (train_model:DEBUG) {'epoch': 14, 'batch_loss': 0.32696205377578735, 'ce_loss': 0.32178783416748047, 'reg_loss': 5174.21484375}
[2023-05-22 23:19:13,165] (train_model:DEBUG) {'epoch': 14, 'batch_loss': 0.47267481684684753, 'ce_loss': 0.46832460165023804, 'reg_loss': 4350.2138671875}
[2023-05-22 23:19:26,677] (train_model:DEBUG) {'epoch': 14, 'batch_loss': 0.4667304456233978, 'ce_loss': 0.4616484045982361, 'reg_loss': 5082.04345703125}
[2023-05-22 23:19:40,755] (train_model:DEBUG) {'epoch': 15, 'batch_loss': 0.32551851868629456, 'ce_loss': 0.32130932807922363, 'reg_loss': 4209.1767578125}
[2023-05-22 23:19:54,273] (train_model:DEBUG) {'epoch': 15, 'batch_loss': 0.49409857392311096, 'ce_loss': 0.4900144636631012, 'reg_loss': 4084.106689453125}
